method,split,step,reward,rolling_reward
Kimi-OPMD,train,82,0.55078125,0.5238715277777778
Kimi-OPMD,train,83,0.4375,0.5108506944444444
Kimi-OPMD,train,84,0.4765625,0.4921875
Kimi-OPMD,train,85,0.4921875,0.4900173611111111
Kimi-OPMD,train,86,0.453125,0.4809027777777778
Kimi-OPMD,train,87,0.42578125,0.4683159722222222
Kimi-OPMD,train,88,0.51171875,0.4769965277777778
Kimi-OPMD,train,89,0.515625,0.4761284722222222
Kimi-OPMD,train,90,0.5859375,0.4943576388888889
Kimi-OPMD,train,91,0.453125,0.4835069444444444
Kimi-OPMD,train,92,0.44921875,0.4848090277777778
Kimi-OPMD,train,93,0.59765625,0.4982638888888889
Kimi-OPMD,train,94,0.62890625,0.5134548611111112
Kimi-OPMD,train,95,0.5234375,0.5212673611111112
Kimi-OPMD,train,96,0.640625,0.5451388888888888
Kimi-OPMD,train,97,0.59765625,0.5546875
Kimi-OPMD,train,98,0.59375,0.5633680555555556
Kimi-OPMD,train,99,0.4296875,0.5460069444444444
Kimi-OPMD,train,100,0.44140625,0.5447048611111112
Kimi-OPMD,train,101,0.59765625,0.5611979166666666
Kimi-OPMD,train,102,0.5,0.5503472222222222
Kimi-OPMD,train,103,0.4921875,0.53515625
Kimi-OPMD,train,104,0.5703125,0.5403645833333334
Kimi-OPMD,train,105,0.484375,0.5230034722222222
Kimi-OPMD,train,106,0.51171875,0.5134548611111112
Kimi-OPMD,train,107,0.484375,0.5013020833333334
Kimi-OPMD,train,108,0.53515625,0.5130208333333334
